#,Skill code,Curriculum skill,Cat.,IXL category name,Reasoning,Step 1,Step 2,Step 3,Pipeline,Steps,Composed?,Changed in v2 re-pass
1,A.1,Factors,A,Numbers,Break a number into its multiplicative parts,Decompose,,,Decompose,1,Atomic,
2,A.2,Prime factorization,A,Numbers,Break a number into irreducible components,Decompose,,,Decompose,1,Atomic,
3,A.3,Greatest common factor,A,Numbers,"Decompose both numbers, then compare shared parts",Decompose,Compare,,Decompose -> Compare,2,Composed,
4,A.4,Least common multiple,A,Numbers,"Decompose, then rebuild the smallest shared whole",Decompose,Compose,,Decompose -> Compose,2,Composed,
5,A.5,GCF and LCM: word problems,A,Numbers,"Translate a situation, then decompose numbers",Represent,Decompose,Compare,Represent -> Decompose -> Compare,3,Composed,Was Represent+Decompose. Cap hid the Compare step.
6,A.6,Square roots,A,Numbers,Rewrite a number as its inverse-power equivalent,Transform,,,Transform,1,Atomic,
7,A.7,Cube roots,A,Numbers,Rewrite a number as its inverse-power equivalent,Transform,,,Transform,1,Atomic,
8,A.8,Classify rational and irrational numbers,A,Numbers,Assign an object to a category by its properties,Identify,,,Identify,1,Atomic,
9,A.9,Classify numbers,A,Numbers,Assign an object to a category by its properties,Identify,,,Identify,1,Atomic,
10,A.10,Compare and order rational numbers,A,Numbers,Judge relative magnitude,Compare,,,Compare,1,Atomic,
11,A.11,Absolute value and opposites,A,Numbers,Rewrite a number under a distance/sign operation,Transform,,,Transform,1,Atomic,Was Transform+Measure. Applying the operation is Transform.
12,A.12,Number lines,A,Numbers,Place quantity onto a spatial representation,Represent,,,Represent,1,Atomic,
13,A.13,Convert between decimals and fractions,A,Numbers,Rewrite the same value in another notation,Transform,,,Transform,1,Atomic,
14,B.1,Powers with integer bases,B,Exponents,Rewrite a power in expanded/evaluated form,Transform,,,Transform,1,Atomic,
15,B.2,Powers with decimal and fractional bases,B,Exponents,Rewrite a power in expanded/evaluated form,Transform,,,Transform,1,Atomic,
16,B.3,Negative exponents,B,Exponents,Rewrite using an equivalent-form rule,Transform,,,Transform,1,Atomic,
17,B.4,Multiplication with exponents,B,Exponents,Rewrite using an equivalent-form rule,Transform,,,Transform,1,Atomic,
18,B.5,Division with exponents,B,Exponents,Rewrite using an equivalent-form rule,Transform,,,Transform,1,Atomic,
19,B.6,Multiplication and division with exponents,B,Exponents,Rewrite using an equivalent-form rule,Transform,,,Transform,1,Atomic,
20,B.7,Power rule,B,Exponents,Apply a general rewrite rule to any instance,Transform,,,Transform,1,Atomic,"Was Transform+Generalize. Applying the power rule is Transform executing its own rule, not generalizing."
21,B.8,Evaluate expressions using properties of exponents,B,Exponents,Rewrite to canonical numeric form,Transform,,,Transform,1,Atomic,
22,B.9,Identify equivalent expressions involving exponents,B,Exponents,"Rewrite candidates, then test sameness",Transform,Compare,,Transform -> Compare,2,Composed,
23,C.1,Convert between standard and scientific notation,C,Scientific notation,Rewrite the same value in another notation,Transform,,,Transform,1,Atomic,
24,C.2,Compare numbers written in scientific notation,C,Scientific notation,Judge relative magnitude,Compare,,,Compare,1,Atomic,Was Compare alone. Unchanged.
25,C.3,Multiply numbers written in scientific notation,C,Scientific notation,Rewrite a product into canonical notation,Transform,,,Transform,1,Atomic,
26,C.4,Divide numbers written in scientific notation,C,Scientific notation,Rewrite a quotient into canonical notation,Transform,,,Transform,1,Atomic,
27,D.1,Simplify radical expressions,D,Radical expressions,Rewrite an equivalent representation,Transform,,,Transform,1,Atomic,
28,D.2,Simplify radical expressions by rationalizing the denominator,D,Radical expressions,Rewrite an equivalent representation,Transform,,,Transform,1,Atomic,
29,D.3,Multiply radical expressions,D,Radical expressions,Rewrite an equivalent representation,Transform,,,Transform,1,Atomic,
30,D.4,Add and subtract radical expressions,D,Radical expressions,Rewrite an equivalent representation,Transform,,,Transform,1,Atomic,
31,D.5,Simplify radical expressions using the distributive property,D,Radical expressions,Rewrite an equivalent representation,Transform,,,Transform,1,Atomic,
32,D.6,Simplify radical expressions: mixed review,D,Radical expressions,Rewrite an equivalent representation,Transform,,,Transform,1,Atomic,
33,E.1,Evaluate rational exponents,E,Rational exponents,Rewrite to canonical numeric form,Transform,,,Transform,1,Atomic,
34,E.2,Multiplication with rational exponents,E,Rational exponents,Rewrite using an equivalent-form rule,Transform,,,Transform,1,Atomic,
35,E.3,Division with rational exponents,E,Rational exponents,Rewrite using an equivalent-form rule,Transform,,,Transform,1,Atomic,
36,E.4,Power rule with rational exponents,E,Rational exponents,Apply a general rewrite rule to any instance,Transform,,,Transform,1,Atomic,Was Transform+Generalize. Same as B.7.
37,E.5,Simplify expressions involving rational exponents I,E,Rational exponents,Rewrite an equivalent representation,Transform,,,Transform,1,Atomic,
38,E.6,Simplify expressions involving rational exponents II,E,Rational exponents,Rewrite an equivalent representation,Transform,,,Transform,1,Atomic,
39,F.1,Coordinate plane review,F,Coordinate plane,Map between points and coordinate notation,Represent,,,Represent,1,Atomic,
40,F.2,Midpoints,F,Coordinate plane,Quantify a position from given magnitudes,Measure,,,Measure,1,Atomic,
41,F.3,Distance between two points,F,Coordinate plane,Quantify a magnitude from a structure,Measure,,,Measure,1,Atomic,
42,G.1,Model and solve equations using algebra tiles,G,Solve equations,"Build a concrete model, then satisfy a condition",Represent,Constrain,,Represent -> Constrain,2,Composed,
43,G.2,Write and solve equations that represent diagrams,G,Solve equations,"Translate a diagram, then satisfy a condition",Represent,Constrain,,Represent -> Constrain,2,Composed,
44,G.3,Solve one-step linear equations,G,Solve equations,Find the value satisfying a condition,Constrain,,,Constrain,1,Atomic,
45,G.4,Solve two-step linear equations,G,Solve equations,Find the value satisfying a condition,Constrain,,,Constrain,1,Atomic,
46,G.5,Solve advanced linear equations,G,Solve equations,Find the value satisfying a condition,Constrain,,,Constrain,1,Atomic,
47,G.6,Solve equations with variables on both sides,G,Solve equations,Find the value satisfying a condition,Constrain,,,Constrain,1,Atomic,
48,G.7,Solve equations: complete the solution,G,Solve equations,Find the value satisfying a condition,Constrain,,,Constrain,1,Atomic,
49,G.8,Find the number of solutions,G,Solve equations,Characterize a constraint's solution set,Transform,Identify,,Transform -> Identify,2,Composed,"Was Identify+Constrain. Simplify to reveal form, then classify."
50,G.9,Create equations with no solutions or infinitely many solutions,G,Solve equations,Construct a constraint with a target property,Represent,,,Represent,1,Atomic,Was Generalize+Constrain. Applies a known criterion to build an object; Represent.
51,G.10,Solve linear equations: word problems,G,Solve equations,"Translate a situation, then satisfy a condition",Represent,Constrain,,Represent -> Constrain,2,Composed,
52,G.11,Solve linear equations: mixed review,G,Solve equations,Find the value satisfying a condition,Constrain,,,Constrain,1,Atomic,
53,H.1,Graph inequalities,H,Single-variable inequalities,Move a condition into a spatial representation,Represent,,,Represent,1,Atomic,
54,H.2,Write inequalities from graphs,H,Single-variable inequalities,Move a spatial representation into symbols,Represent,,,Represent,1,Atomic,
55,H.3,Identify solutions to inequalities,H,Single-variable inequalities,Test a candidate against a condition,Verify,,,Verify,1,Atomic,Was Verify. Unchanged.
56,H.4,Solve one-step linear inequalities: addition and subtraction,H,Single-variable inequalities,Find values satisfying a condition,Constrain,,,Constrain,1,Atomic,
57,H.5,Solve one-step linear inequalities: multiplication and division,H,Single-variable inequalities,Find values satisfying a condition,Constrain,,,Constrain,1,Atomic,
58,H.6,Solve one-step linear inequalities,H,Single-variable inequalities,Find values satisfying a condition,Constrain,,,Constrain,1,Atomic,
59,H.7,Graph solutions to one-step linear inequalities,H,Single-variable inequalities,"Satisfy a condition, then represent the set",Constrain,Represent,,Constrain -> Represent,2,Composed,
60,H.8,Solve two-step linear inequalities,H,Single-variable inequalities,Find values satisfying a condition,Constrain,,,Constrain,1,Atomic,
61,H.9,Graph solutions to two-step linear inequalities,H,Single-variable inequalities,"Satisfy a condition, then represent the set",Constrain,Represent,,Constrain -> Represent,2,Composed,
62,H.10,Solve multi-step linear inequalities,H,Single-variable inequalities,Find values satisfying a condition,Constrain,,,Constrain,1,Atomic,
63,H.11,Graph solutions to multi-step linear inequalities,H,Single-variable inequalities,"Satisfy a condition, then represent the set",Constrain,Represent,,Constrain -> Represent,2,Composed,
64,H.12,Graph compound inequalities,H,Single-variable inequalities,Move a joined condition into a spatial representation,Represent,,,Represent,1,Atomic,
65,H.13,Write compound inequalities from graphs,H,Single-variable inequalities,Move a spatial representation into symbols,Represent,,,Represent,1,Atomic,
66,H.14,Solve compound inequalities,H,Single-variable inequalities,Find values satisfying several joined conditions,Constrain,,,Constrain,1,Atomic,
67,H.15,Graph solutions to compound inequalities,H,Single-variable inequalities,"Satisfy conditions, then represent the set",Constrain,Represent,,Constrain -> Represent,2,Composed,
68,I.1,"Interpret bar graphs, line graphs and histograms",I,Data and graphs,Read quantities out of a display,Represent,Measure,,Represent -> Measure,2,Composed,
69,I.2,"Create bar graphs, line graphs and histograms",I,Data and graphs,Move data into a display,Represent,,,Represent,1,Atomic,
70,I.3,Interpret circle graphs,I,Data and graphs,Read quantities out of a display,Represent,Measure,,Represent -> Measure,2,Composed,
71,I.4,Interpret stem-and-leaf plots,I,Data and graphs,Read quantities out of a display,Represent,Measure,,Represent -> Measure,2,Composed,
72,I.5,Box plots,I,Data and graphs,Move a distribution into a summary display,Measure,Represent,,Measure -> Represent,2,Composed,"Was Represent+Measure. Reordered: compute the five-number summary, then display it."
73,I.6,Interpret a scatter plot,I,Data and graphs,Read a trend out of a display,Represent,Generalize,,Represent -> Generalize,2,Composed,"Was Represent+Generalize, kept - trend inference is genuine."
74,I.7,Scatter plots: line of best fit,I,Data and graphs,Infer a general rule from many cases,Generalize,Represent,,Generalize -> Represent,2,Composed,"Was Generalize+Represent, kept."
75,J.1,"Relations: convert between tables, graphs, mappings and lists of points",J,Relations and functions,Move the same relation across representations,Represent,,,Represent,1,Atomic,
76,J.2,Domain and range of relations,J,Relations and functions,Extract the defining input/output sets,Identify,,,Identify,1,Atomic,
77,J.3,Identify independent and dependent variables,J,Relations and functions,Assign roles within a structure,Identify,,,Identify,1,Atomic,
78,J.4,Identify functions,J,Relations and functions,Assign an object to a category by its properties,Identify,,,Identify,1,Atomic,
79,J.5,Identify functions: vertical line test,J,Relations and functions,Apply a test to decide category membership,Identify,,,Identify,1,Atomic,Was Identify+Verify. The vertical line test IS Identify's decision rule.
80,J.6,Find values using function graphs,J,Relations and functions,Read a value out of a representation,Represent,,,Represent,1,Atomic,
81,J.7,Evaluate a function,J,Relations and functions,Rewrite with a value substituted,Transform,,,Transform,1,Atomic,
82,J.8,Evaluate a function: plug in an expression,J,Relations and functions,Rewrite with an expression substituted,Transform,,,Transform,1,Atomic,
83,J.9,Complete a function table from a graph,J,Relations and functions,Move a relation between representations,Represent,,,Represent,1,Atomic,
84,J.10,Complete a function table from an equation,J,Relations and functions,Move a relation between representations,Transform,Represent,,Transform -> Represent,2,Composed,"Was Represent+Transform. Reordered: compute, then tabulate."
85,J.11,Interpret the graph of a function: word problems,J,Relations and functions,Read meaning out of a representation,Represent,,,Represent,1,Atomic,
86,K.1,Identify proportional relationships,K,Direct and inverse variation,Assign an object to a category by its properties,Identify,,,Identify,1,Atomic,
